HR,WR,HE,WE,Freq
W,Bl,4,1,24.99670523405075
W,Bl,4,2,28.13640120625496
W,Bl,4,3,209.7165169417858
W,Bl,4,4,428.497421681881
W,Bl,4,5,100.4670214951038
W,Bl,5,1,2.878978133201599
W,Bl,5,2,1.269670963287354
W,Bl,5,3,11.80533999204636
W,Bl,5,4,77.50513458251953
W,Bl,5,5,60.71651870012283
Br,W,1,1,3147.084057956934
Br,W,1,2,1806.750132977962
Br,W,1,3,2049.829521209002
Br,W,1,4,818.0529196411371
Br,W,1,5,74.69550162553787
Br,W,2,1,1047.599168658257
Br,W,2,2,1720.315654121339
Br,W,2,3,1889.742972329259
Br,W,2,4,964.4947839081287
Br,W,2,5,76.13982084393501
Br,W,3,1,1162.628512471914
Br,W,3,2,1585.698140077293
Br,W,3,3,5844.779620192945
Br,W,3,4,3797.07313464582
Br,W,3,5,333.2124109864235
Br,W,4,1,355.8212839961052
Br,W,4,2,474.0400453656912
Br,W,4,3,2831.081092953682
Br,W,4,4,5922.506537139416
Br,W,4,5,990.0553996711969
Br,W,5,1,32.73930588364601
Br,W,5,2,39.15311220288277
Br,W,5,3,178.4224192798138
Br,W,5,4,977.5841411948204
Br,W,5,5,1031.115621179342
Br,Br,1,1,10588.23636712879
Br,Br,1,2,4621.396837443113
Br,Br,1,3,4637.486659906805
Br,Br,1,4,1736.89099162817
Br,Br,1,5,104.7613685429096
Br,Br,2,1,2347.909081287682
Br,Br,2,2,2855.83217523247
Br,Br,2,3,3494.582582339644
Br,Br,2,4,1668.846499279141
Br,Br,2,5,87.44094344973564
Br,Br,3,1,2246.018184557557
Br,Br,3,2,2457.870383754373
Br,Br,3,3,9173.622865557671
Br,Br,3,4,5484.04690040648
Br,Br,3,5,384.2774159014225
Br,Br,4,1,585.4925949573517
Br,Br,4,2,607.9944135844707
Br,Br,4,3,3656.506555736065
Br,Br,4,4,7644.541348233819
Br,Br,4,5,900.0568140745163
Br,Br,5,1,39.25032517313957
Br,Br,5,2,37.36061707139015
Br,Br,5,3,204.6149469316006
Br,Br,5,4,806.4312075003982
Br,Br,5,5,712.1362113654613
Br,Bl,1,1,481.6709171533585
Br,Bl,1,2,209.2444962412119
Br,Bl,1,3,209.9923431128263
Br,Bl,1,4,105.077323615551
Br,Bl,1,5,5.828741610050201
Br,Bl,2,1,106.7349647283554
Br,Bl,2,2,106.3820260167122
Br,Bl,2,3,141.231858342886
Br,Bl,2,4,84.9774794280529
Br,Bl,2,5,3.74393755197525
Br,Bl,3,1,123.0347585082054
Br,Bl,3,2,97.48504976928234
Br,Bl,3,3,422.1424152106047
Br,Bl,3,4,300.7180451005697
Br,Bl,3,5,19.99397546052933
Br,Bl,4,1,21.11935323476791
Br,Bl,4,2,32.27066069841385
Br,Bl,4,3,134.8475313782692
Br,Bl,4,4,296.0452897250652
Br,Bl,4,5,45.41412156820297
Br,Bl,5,1,2.823653042316437
Br,Bl,5,2,2.7121502161026
Br,Bl,5,3,10.25437426567078
Br,Bl,5,4,24.55640381574631
Br,Bl,5,5,18.94859826564789
Bl,W,1,1,549.4332552999258
Bl,W,1,2,278.2848164662719
Bl,W,1,3,296.9353073835373
Bl,W,1,4,106.7382333278656
Bl,W,1,5,8.950119614601135
Bl,W,2,1,166.866476982832
Bl,W,2,2,223.3777989447117
Bl,W,2,3,260.5833971202374
Bl,W,2,4,107.7474106550217
Bl,W,2,5,7.339407026767731
Bl,W,3,1,188.477457433939
Bl,W,3,2,236.7756032347679
Bl,W,3,3,851.4895770549774
Bl,W,3,4,425.9024534225464
Bl,W,3,5,30.04168087244034
Bl,W,4,1,64.54594895243645
Bl,W,4,2,83.06109736859798
Bl,W,4,3,469.0182402729988
Bl,W,4,4,813.3243808448315
Bl,W,4,5,117.5773668885231
Bl,W,5,1,6.959317684173584
Bl,W,5,2,2.236406594514847
Bl,W,5,3,41.31428205966949
Bl,W,5,4,147.1779474318027
Bl,W,5,5,113.3498415648937
Bl,Br,1,1,714.6861989349127
Bl,Br,1,2,266.7717616409063
Bl,Br,1,3,295.9140877574682
Bl,Br,1,4,119.1000122129917
Bl,Br,1,5,6.615606129169464
Bl,Br,2,1,193.5128891021013
Bl,Br,2,2,191.2217446118593
Bl,Br,2,3,206.6376149356365
Bl,Br,2,4,125.4850318431854
Bl,Br,2,5,5.558861494064331
Bl,Br,3,1,188.9589236974716
Bl,Br,3,2,195.3087602853775
Bl,Br,3,3,731.235211327672
Bl,Br,3,4,385.9925799071789
Bl,Br,3,5,22.19983845949173
Bl,Br,4,1,56.68732266128063
Bl,Br,4,2,74.92021262645721
Bl,Br,4,3,330.4608730971813
Bl,Br,4,4,661.2954830676317
Bl,Br,4,5,67.3037266433239
Bl,Br,5,1,1.797769904136658
Bl,Br,5,2,1.553682208061218
Bl,Br,5,3,19.72507202625275
Bl,Br,5,4,102.1577464342117
Bl,Br,5,5,57.00106078386307
Bl,Bl,1,1,1050.207545936108
Bl,Bl,1,2,384.105259001255
Bl,Bl,1,3,402.7647542208433
Bl,Bl,1,4,176.4275294244289
Bl,Bl,1,5,12.69380444288254
Bl,Bl,2,1,246.3064475506544
Bl,Bl,2,2,256.8360604643822
Bl,Bl,2,3,330.1615133434534
